CPF-Source-ID-Anchor	CPF-Type	CPF-Relation-Type	CPF-Source-ID-Target	RD-Type	RD-Relation-Type	RD-Source-ID
24828.r003	person	associatedWith	24828.c01	ArchivalResource	referencedIn	24828.xml
24828.r004	person	associatedWith	24828.c01	ArchivalResource	referencedIn	24828.xml
24828.r005	person	associatedWith	24828.c01	ArchivalResource	referencedIn	24828.xml
24828.r006	person	associatedWith	24828.c01	ArchivalResource	referencedIn	24828.xml
24828.r007	person	associatedWith	24828.c01	ArchivalResource	referencedIn	24828.xml
29935.c01	person	correspondedWith	29935.r001	ArchivalResource	creatorOf	29935.xml
	person	correspondedWith	29935.r002
	person	correspondedWith	29935.r003
29935.r001	person	correspondedWith	29935.c01	ArchivalResource	referencedIn	29935.xml
29935.r002	person	correspondedWith	29935.c01	ArchivalResource	referencedIn	29935.xml
29935.r003	person	correspondedWith	29935.c01	ArchivalResource	referencedIn	29935.xml
24593.c01	person	associatedWith	24593.r001	ArchivalResource	creatorOf	24593.xml
	person	associatedWith	24593.r002
	person	associatedWith	24593.r003
	corporateBody	associatedWith	24593.r004
	corporateBody	associatedWith	24593.r005
	corporateBody	associatedWith	24593.r006
	corporateBody	associatedWith	24593.r007
	corporateBody	associatedWith	24593.r008
	corporateBody	associatedWith	24593.r009
	corporateBody	associatedWith	24593.r010
24593.r001	person	associatedWith	24593.c01	ArchivalResource	referencedIn	24593.xml
24593.r002	person	associatedWith	24593.c01	ArchivalResource	referencedIn	24593.xml
24593.r003	person	associatedWith	24593.c01	ArchivalResource	referencedIn	24593.xml
24593.r004	person	associatedWith	24593.c01	ArchivalResource	referencedIn	24593.xml
24593.r005	person	associatedWith	24593.c01	ArchivalResource	referencedIn	24593.xml
24593.r006	person	associatedWith	24593.c01	ArchivalResource	referencedIn	24593.xml
24593.r007	person	associatedWith	24593.c01	ArchivalResource	referencedIn	24593.xml
24593.r008	person	associatedWith	24593.c01	ArchivalResource	referencedIn	24593.xml
24593.r009	person	associatedWith	24593.c01	ArchivalResource	referencedIn	24593.xml
24593.r010	person	associatedWith	24593.c01	ArchivalResource	referencedIn	24593.xml
29909.c01	person	associatedWith	29909.r001	ArchivalResource	creatorOf	29909.xml
29909.r001	person	associatedWith	29909.c01	ArchivalResource	referencedIn	29909.xml
29910.c01	person	associatedWith	29910.r001	ArchivalResource	creatorOf	29910.xml
	person	associatedWith	29910.r002
29910.r001	person	associatedWith	29910.c01	ArchivalResource	referencedIn	29910.xml
29910.r002	person	associatedWith	29910.c01	ArchivalResource	referencedIn	29910.xml
24818.c01	person	associatedWith	24818.r001	ArchivalResource	creatorOf	24818.xml
	person	correspondedWith	24818.r002
	family	associatedWith	24818.r003
	family	associatedWith	24818.r004
	family	associatedWith	24818.r005
	family	associatedWith	24818.r006
	family	associatedWith	24818.r007
	corporateBody	associatedWith	24818.r008
24818.r001	person	associatedWith	24818.c01	ArchivalResource	referencedIn	24818.xml
24818.r002	person	correspondedWith	24818.c01	ArchivalResource	referencedIn	24818.xml
24818.r003	person	associatedWith	24818.c01	ArchivalResource	referencedIn	24818.xml
24818.r004	person	associatedWith	24818.c01	ArchivalResource	referencedIn	24818.xml
24818.r005	person	associatedWith	24818.c01	ArchivalResource	referencedIn	24818.xml
24818.r006	person	associatedWith	24818.c01	ArchivalResource	referencedIn	24818.xml
24818.r007	person	associatedWith	24818.c01	ArchivalResource	referencedIn	24818.xml
24818.r008	person	associatedWith	24818.c01	ArchivalResource	referencedIn	24818.xml
25285.c01	corporateBody	associatedWith	25285.r001	ArchivalResource	creatorOf	25285.xml
25285.r001	person	associatedWith	25285.c01	ArchivalResource	referencedIn	25285.xml
24831.c01	person	correspondedWith	24831.r001	ArchivalResource	creatorOf	24831.xml
	person	correspondedWith	24831.r002
	person	associatedWith	24831.r003
	corporateBody	associatedWith	24831.r004
24831.r001	person	correspondedWith	24831.c01	ArchivalResource	referencedIn	24831.xml
24831.r002	person	correspondedWith	24831.c01	ArchivalResource	referencedIn	24831.xml
24831.r003	person	associatedWith	24831.c01	ArchivalResource	referencedIn	24831.xml
24831.r004	person	associatedWith	24831.c01	ArchivalResource	referencedIn	24831.xml
24602.c01	person	associatedWith	24602.r001	ArchivalResource	creatorOf	24602.xml
	person	associatedWith	24602.r002
	person	associatedWith	24602.r003
	person	associatedWith	24602.r004
	corporateBody	associatedWith	24602.r005
24602.r001	person	associatedWith	24602.c01	ArchivalResource	referencedIn	24602.xml
24602.r002	person	associatedWith	24602.c01	ArchivalResource	referencedIn	24602.xml
24602.r003	person	associatedWith	24602.c01	ArchivalResource	referencedIn	24602.xml
24602.r004	person	associatedWith	24602.c01	ArchivalResource	referencedIn	24602.xml
